id,name,sector_before,gbt_code,major_name,layer,rule_confidence,matched_pattern,sector_raw,main_biz_excerpt
E1343,广州星澳游艇有限公司,待打标,15,海洋旅游业,peripheral,low,滨海|邮轮旅游|游艇,批发和零售业,
E4001,广州港恒国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4005,广州保利电商港有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4087,广州港物流有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4113,广州港集团有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4132,广州发展燃料港口有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4160,广州海宁物流有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4192,广州市富港码头服务有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4230,广州七海国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4241,广东海阔船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4342,广州市海诚国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4396,广州市联钺船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4402,广州港仓储运输有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4449,广州全强船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4454,珠江船务（广东）物流有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,租赁和商务服务业,
E4526,广州海翼物流有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4538,广州和洋海事服务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,租赁和商务服务业,
E4579,广州恒海国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4585,广东盈海国际货运代理有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4615,广州市番禺莲花山番港货运有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4616,广州市乐文船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4640,广东富海物流有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4652,广州南科海洋工程有限公司,待打标,11,海洋工程装备制造业,core,low,海洋工程|海工,科学研究和技术服务业,
E4683,广州三海海洋工程勘察设计有限公司,待打标,11,海洋工程装备制造业,core,low,海洋工程|海工,科学研究和技术服务业,
E4696,广州即达船务运输有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4697,广州南贸船务服务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4742,广州市安德船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4746,广州市瀛富船务货运代理有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4761,广州市德和船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4772,广州市龙粤船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4779,广州市祥源船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
E4844,广州海新冷冻仓储有限公司,待打标,14,海洋交通运输业,core,low,sector_raw:交通运输、仓储和邮政业+marine_token,交通运输、仓储和邮政业,
E4860,广州市环洋船务有限公司,待打标,14,海洋交通运输业,core,low,(?<![陆空])航运|船务|海事服务|货运代理.*海|海运代理,交通运输、仓储和邮政业,
